Ticker,Sector,AssetClass
ABB,Capital Goods,Equity
ADANIENSOL,Power,Equity
ADANIENT,Metals & Mining,Equity
ADANIGREEN,Power,Equity
ADANIPORTS,Services,Equity
ADANIPOWER,Power,Equity
AMBUJACEM,Construction Materials,Equity
APOLLOHOSP,Healthcare,Equity
ASIANPAINT,Consumer Durables,Equity
DMART,Consumer Services,Equity
AXISBANK,Financial Services,Equity
BAJAJ-AUTO,Automobile and Auto Components,Equity
BAJFINANCE,Financial Services,Equity
BAJAJFINSV,Financial Services,Equity
BAJAJHLDNG,Financial Services,Equity
BAJAJHFL,Financial Services,Equity
BANKBARODA,Financial Services,Equity
BEL,Capital Goods,Equity
BPCL,Oil Gas & Consumable Fuels,Equity
BHARTIARTL,Telecommunication,Equity
BOSCHLTD,Automobile and Auto Components,Equity
BRITANNIA,Fast Moving Consumer Goods,Equity
CGPOWER,Capital Goods,Equity
CANBK,Financial Services,Equity
CHOLAFIN,Financial Services,Equity
CIPLA,Healthcare,Equity
COALINDIA,Oil Gas & Consumable Fuels,Equity
DLF,Realty,Equity
DABUR,Fast Moving Consumer Goods,Equity
DIVISLAB,Healthcare,Equity
DRREDDY,Healthcare,Equity
EICHERMOT,Automobile and Auto Components,Equity
ETERNAL,Consumer Services,Equity
GAIL,Oil Gas & Consumable Fuels,Equity
GODREJCP,Fast Moving Consumer Goods,Equity
GRASIM,Construction Materials,Equity
HCLTECH,Information Technology,Equity
HDFCBANK,Financial Services,Equity
HDFCLIFE,Financial Services,Equity
HAVELLS,Consumer Durables,Equity
HEROMOTOCO,Automobile and Auto Components,Equity
HINDALCO,Metals & Mining,Equity
HAL,Capital Goods,Equity
HINDUNILVR,Fast Moving Consumer Goods,Equity
HYUNDAI,Automobile and Auto Components,Equity
ICICIBANK,Financial Services,Equity
ICICIGI,Financial Services,Equity
ICICIPRULI,Financial Services,Equity
ITC,Fast Moving Consumer Goods,Equity
INDHOTEL,Consumer Services,Equity
IOC,Oil Gas & Consumable Fuels,Equity
IRFC,Financial Services,Equity
INDUSINDBK,Financial Services,Equity
NAUKRI,Consumer Services,Equity
INFY,Information Technology,Equity
INDIGO,Services,Equity
JSWENERGY,Power,Equity
JSWSTEEL,Metals & Mining,Equity
JINDALSTEL,Metals & Mining,Equity
JIOFIN,Financial Services,Equity
KOTAKBANK,Financial Services,Equity
LTIM,Information Technology,Equity
LT,Construction,Equity
LICI,Financial Services,Equity
LODHA,Realty,Equity
M&M,Automobile and Auto Components,Equity
MARUTI,Automobile and Auto Components,Equity
NTPC,Power,Equity
NESTLEIND,Fast Moving Consumer Goods,Equity
ONGC,Oil Gas & Consumable Fuels,Equity
PIDILITIND,Chemicals,Equity
PFC,Financial Services,Equity
POWERGRID,Power,Equity
PNB,Financial Services,Equity
RECLTD,Financial Services,Equity
RELIANCE,Oil Gas & Consumable Fuels,Equity
SBILIFE,Financial Services,Equity
MOTHERSON,Automobile and Auto Components,Equity
SHREECEM,Construction Materials,Equity
SHRIRAMFIN,Financial Services,Equity
SIEMENS,Capital Goods,Equity
SBIN,Financial Services,Equity
SUNPHARMA,Healthcare,Equity
SWIGGY,Consumer Services,Equity
TVSMOTOR,Automobile and Auto Components,Equity
TCS,Information Technology,Equity
TATACONSUM,Fast Moving Consumer Goods,Equity
TATAMOTORS,Automobile and Auto Components,Equity
TATAPOWER,Power,Equity
TATASTEEL,Metals & Mining,Equity
TECHM,Information Technology,Equity
TITAN,Consumer Durables,Equity
TORNTPHARM,Healthcare,Equity
TRENT,Consumer Services,Equity
ULTRACEMCO,Construction Materials,Equity
UNITDSPR,Fast Moving Consumer Goods,Equity
VBL,Fast Moving Consumer Goods,Equity
VEDL,Metals & Mining,Equity
WIPRO,Information Technology,Equity
ZYDUSLIFE,Healthcare,Equity
